Customer ID,Customer Name,Segment,Country/Region,City,State/Province,Postal Code,Region
DP-13000,Darren Powers,Consumer,United States,Houston,Texas,77095,Central
PO-19195,Phillina Ober,Home Office,United States,Naperville,Illinois,60540,Central
PO-19195,Phillina Ober,Home Office,United States,Naperville,Illinois,60540,Central
PO-19195,Phillina Ober,Home Office,United States,Naperville,Illinois,60540,Central
MB-18085,Mick Brown,Consumer,United States,Philadelphia,Pennsylvania,19143,East
ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420,South
ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420,South
JO-15145,Jack O'Briant,Corporate,United States,Athens,Georgia,30605,South
ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420,South
ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420,South
ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420,South
LS-17230,Lycoris Saunders,Consumer,United States,Los Angeles,California,90049,West
ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420,South
ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420,South
VS-21820,Vivek Sundaresam,Consumer,United States,Huntsville,Texas,77340,Central
VS-21820,Vivek Sundaresam,Consumer,United States,Huntsville,Texas,77340,Central
MS-17830,Melanie Seite,Consumer,United States,Laredo,Texas,78041,Central
MS-17830,Melanie Seite,Consumer,United States,Laredo,Texas,78041,Central
AJ-10780,Anthony Jacobs,Corporate,United States,Springfield,Virginia,22153,South
AJ-10780,Anthony Jacobs,Corporate,United States,Springfield,Virginia,22153,South
SV-20365,Seth Vernon,Consumer,United States,Dover,Delaware,19901,East
BD-11605,Brian Dahlen,Consumer,United States,San Francisco,California,94109,West
ND-18370,Natalie DeCherney,Consumer,United States,Mount Pleasant,South Carolina,29464,South
BD-11605,Brian Dahlen,Consumer,United States,San Francisco,California,94109,West
MM-17920,Michael Moore,Consumer,United States,Newark,Ohio,43055,East
CS-12250,Chris Selesnick,Corporate,United States,Bossier City,Louisiana,71111,South
CS-12250,Chris Selesnick,Corporate,United States,Bossier City,Louisiana,71111,South
CS-12250,Chris Selesnick,Corporate,United States,Bossier City,Louisiana,71111,South
MM-17920,Michael Moore,Consumer,United States,Newark,Ohio,43055,East
CS-12250,Chris Selesnick,Corporate,United States,Bossier City,Louisiana,71111,South
BD-11605,Brian Dahlen,Consumer,United States,San Francisco,California,94109,West
CS-12250,Chris Selesnick,Corporate,United States,Bossier City,Louisiana,71111,South
BS-11590,Brendan Sweed,Corporate,United States,Philadelphia,Pennsylvania,19140,East
EH-13990,Erica Hackney,Consumer,United States,Roswell,Georgia,30076,South
DL-13315,Delfina Latchford,Consumer,United States,Philadelphia,Pennsylvania,19134,East
DL-13315,Delfina Latchford,Consumer,United States,Philadelphia,Pennsylvania,19134,East
